study,participant_id,generator,rate,trial,sequence,type,terminal_streak_length,prediction_raw,prediction_recode
2A,3,analyst,50,6,01010101,filler,1,50,50
2A,3,analyst,50,7,01011101,filler,1,50,50
2A,3,analyst,50,8,00001101,filler,1,51,51
2A,3,analyst,50,9,00110101,filler,1,51,51
2A,3,analyst,50,10,10100110,filler,1,51,49
2A,3,analyst,50,11,11001101,filler,1,53,53
2A,3,analyst,50,12,01000001,filler,1,53,53
2A,3,analyst,50,13,01111111,target,7,51,51
2A,3,analyst,50,14,01010111,target,3,51,51
2A,3,analyst,50,15,11111101,filler,1,51,51
2A,3,analyst,50,16,00101111,target,4,51,51
2A,3,analyst,50,17,10111111,target,6,51,51
2A,3,analyst,50,18,11011111,target,5,51,51
2A,4,analyst,50,1,00110110,filler,1,51,49
2A,4,analyst,50,2,11110010,filler,1,28,72
2A,4,analyst,50,3,01011101,filler,1,52,52
2A,4,analyst,50,4,10000000,target,7,73,27
2A,4,analyst,50,5,01101010,filler,1,52,48
2A,4,analyst,50,6,00111111,target,6,24,24
2A,4,analyst,50,7,10100111,target,3,52,52
2A,4,analyst,50,8,01011110,filler,1,51,49
2A,4,analyst,50,9,01000001,filler,1,52,52
2A,4,analyst,50,10,00001101,filler,1,53,53
2A,4,analyst,50,11,01010000,target,4,51,49
2A,4,analyst,50,12,10110100,target,2,51,49
2A,4,analyst,50,13,10000001,filler,1,51,51
2A,4,analyst,50,14,11010010,filler,1,51,49
2A,4,analyst,50,15,00100000,target,5,53,47
2A,4,analyst,50,16,01110010,filler,1,52,48
2A,4,analyst,50,17,10101010,filler,1,51,49
2A,4,analyst,50,18,00110101,filler,1,49,49
2A,5,analyst,50,1,00110110,filler,1,25,75
2A,5,analyst,50,2,10000000,target,7,0,100
2A,5,analyst,50,3,01000101,filler,1,10,10
2A,5,analyst,50,4,01010101,filler,1,32,32
2A,5,analyst,50,5,01001011,target,2,63,63
2A,5,analyst,50,6,10000001,filler,1,16,16
2A,5,analyst,50,7,01011101,filler,1,55,55
2A,5,analyst,50,8,00111111,target,6,69,69
2A,5,analyst,50,9,00110101,filler,1,28,28
2A,5,analyst,50,10,10101000,target,3,14,86
2A,5,analyst,50,11,11011001,filler,1,59,59
2A,5,analyst,50,12,11110010,filler,1,72,28
2A,5,analyst,50,13,11010000,target,4,38,62
2A,5,analyst,50,14,01000001,filler,1,6,6
2A,5,analyst,50,15,11111101,filler,1,78,78
2A,5,analyst,50,16,10100000,target,5,16,84
2A,5,analyst,50,17,11001101,filler,1,72,72
2A,5,analyst,50,18,01101010,filler,1,72,28
2A,6,analyst,50,1,11110010,filler,1,70,30
2A,6,analyst,50,2,11111010,filler,1,84,16
2A,6,analyst,50,3,10000101,filler,1,34,34
2A,6,analyst,50,4,01101010,filler,1,52,48
2A,6,analyst,50,5,10101111,target,4,55,55
2A,6,analyst,50,6,10100000,target,5,26,74
2A,6,analyst,50,7,01010101,filler,1,14,14
2A,6,analyst,50,8,01000101,filler,1,29,29
2A,6,analyst,50,9,01010100,target,2,57,43
2A,6,analyst,50,10,11000110,filler,1,39,61
2A,6,analyst,50,11,01000001,filler,1,21,21
2A,6,analyst,50,12,10100110,filler,1,60,40
2A,6,analyst,50,13,11011001,filler,1,63,63
2A,6,analyst,50,14,10001010,filler,1,39,61
2A,6,analyst,50,15,01000000,target,6,9,91
2A,6,analyst,50,16,11101010,filler,1,62,38
2A,6,analyst,50,17,10101000,target,3,26,74
2A,6,analyst,50,18,01111111,target,7,97,97
2A,7,analyst,50,1,10000101,filler,1,51,51
2A,7,analyst,50,2,10111111,target,6,49,49
2A,7,analyst,50,3,10101000,target,3,51,49
2A,7,analyst,50,4,11010010,filler,1,51,49
2A,7,analyst,50,5,01010000,target,4,51,49
2A,7,analyst,50,6,10100000,target,5,51,49
2A,7,analyst,50,7,01010101,filler,1,51,51
2A,7,analyst,50,8,01101010,filler,1,50,50
2A,7,analyst,50,9,10000001,filler,1,51,51
2A,7,analyst,50,10,01111111,target,7,52,52
2A,7,analyst,50,11,11110010,filler,1,51,49
2A,7,analyst,50,12,01010010,filler,1,52,48
2A,7,analyst,50,13,11111010,filler,1,51,49
2A,7,analyst,50,14,01000101,filler,1,51,51
2A,7,analyst,50,15,10001010,filler,1,51,49
2A,7,analyst,50,16,10101011,target,2,51,51
2A,7,analyst,50,17,00110110,filler,1,49,51
2A,7,analyst,50,18,01000001,filler,1,52,52
2A,8,analyst,50,1,01000001,filler,1,21,21
2A,8,analyst,50,2,01110010,filler,1,59,41
2A,8,analyst,50,3,10101000,target,3,39,61
2A,8,analyst,50,4,11111010,filler,1,70,30
2A,8,analyst,50,5,10000001,filler,1,31,31
2A,8,analyst,50,6,10000101,filler,1,38,38
2A,8,analyst,50,7,01011101,filler,1,65,65
2A,8,analyst,50,8,00110110,filler,1,51,49
2A,8,analyst,50,9,11001101,filler,1,59,59
2A,8,analyst,50,10,11101010,filler,1,70,30
2A,8,analyst,50,11,00111111,target,6,79,79
2A,8,analyst,50,12,10000000,target,7,13,87
2A,8,analyst,50,13,10001010,filler,1,24,76
2A,8,analyst,50,14,00101111,target,4,64,64
2A,8,analyst,50,15,00100000,target,5,12,88
2A,8,analyst,50,16,00110101,filler,1,50,50
2A,8,analyst,50,17,10101011,target,2,55,55
2A,8,analyst,50,18,10100110,filler,1,51,49
2A,9,analyst,50,1,11011001,filler,1,54,54
2A,9,analyst,50,2,10000000,target,7,11,89
2A,9,analyst,50,3,01000101,filler,1,34,34
2A,9,analyst,50,4,01011111,target,5,78,78
2A,9,analyst,50,5,10110100,target,2,40,60
2A,9,analyst,50,6,11111010,filler,1,81,19
2A,9,analyst,50,7,01010010,filler,1,34,66
2A,9,analyst,50,8,10101111,target,4,79,79
2A,9,analyst,50,9,10100110,filler,1,52,48
2A,9,analyst,50,10,01011000,target,3,33,67
2A,9,analyst,50,11,10101010,filler,1,49,51
2A,9,analyst,50,12,01110010,filler,1,50,50
2A,9,analyst,50,13,01011101,filler,1,65,65
2A,9,analyst,50,14,00110110,filler,1,51,49
2A,9,analyst,50,15,11111101,filler,1,91,91
2A,9,analyst,50,16,11001101,filler,1,59,59
2A,9,analyst,50,17,10000001,filler,1,8,8
2A,9,analyst,50,18,00111111,target,6,78,78
2A,10,analyst,50,1,11000110,filler,1,51,49
2A,10,analyst,50,2,01101010,filler,1,49,51
2A,10,analyst,50,3,11011111,target,5,51,51
2A,10,analyst,50,4,10100111,target,3,49,49
2A,10,analyst,50,5,11101010,filler,1,51,49
2A,10,analyst,50,6,10101010,filler,1,51,49
2A,10,analyst,50,7,11111101,filler,1,10,10
2A,10,analyst,50,8,01110010,filler,1,50,50
2A,10,analyst,50,9,10101011,target,2,46,46
2A,10,analyst,50,10,10000001,filler,1,77,77
2A,10,analyst,50,11,11110010,filler,1,24,76
2A,10,analyst,50,12,00110101,filler,1,51,51
2A,10,analyst,50,13,11001101,filler,1,24,24
2A,10,analyst,50,14,01010101,filler,1,42,42
2A,10,analyst,50,15,10000000,target,7,97,3
2A,10,analyst,50,16,11010000,target,4,82,18
2A,10,analyst,50,17,01000000,target,6,98,2
2A,10,analyst,50,18,01010010,filler,1,70,30
2A,11,analyst,50,1,11110010,filler,1,67,33
2A,11,analyst,50,2,11111101,filler,1,80,80
2A,11,analyst,50,3,11010000,target,4,34,66
2A,11,analyst,50,4,00110110,filler,1,20,80
2A,11,analyst,50,5,10101010,filler,1,56,44
2A,11,analyst,50,6,11111010,filler,1,83,17
2A,11,analyst,50,7,01101010,filler,1,21,79
2A,11,analyst,50,8,11010010,filler,1,36,64
2A,11,analyst,50,9,11001101,filler,1,48,48
2A,11,analyst,50,10,00111111,target,6,70,70
2A,11,analyst,50,11,01111111,target,7,91,91
2A,11,analyst,50,12,10100110,filler,1,41,59
2A,11,analyst,50,13,01011000,target,3,27,73
2A,11,analyst,50,14,01010100,target,2,46,54
2A,11,analyst,50,15,10000001,filler,1,11,11
2A,11,analyst,50,16,01011101,filler,1,58,58
2A,11,analyst,50,17,11000110,filler,1,49,51
2A,11,analyst,50,18,01011111,target,5,70,70
2A,12,analyst,50,1,01011101,filler,1,75,75
2A,12,analyst,50,2,11010000,target,4,20,80
2A,12,analyst,50,3,11000110,filler,1,51,49
2A,12,analyst,50,4,01101010,filler,1,70,30
2A,12,analyst,50,5,10101010,filler,1,95,5
2A,12,analyst,50,6,10101011,target,2,73,73
2A,12,analyst,50,7,01011110,filler,1,23,77
2A,12,analyst,50,8,10100110,filler,1,14,86
2A,12,analyst,50,9,11010010,filler,1,12,88
2A,12,analyst,50,10,10000101,filler,1,5,5
2A,12,analyst,50,11,01010010,filler,1,21,79
2A,12,analyst,50,12,11111010,filler,1,82,18
2A,12,analyst,50,13,10101000,target,3,0,100
2A,12,analyst,50,14,01000000,target,6,0,100
2A,12,analyst,50,15,10100000,target,5,0,100
2A,12,analyst,50,16,11001101,filler,1,68,68
2A,12,analyst,50,17,01111111,target,7,100,100
2A,12,analyst,50,18,00001101,filler,1,72,72
2A,13,analyst,50,1,01000101,filler,1,26,26
2A,13,analyst,50,2,01011000,target,3,3,97
2A,13,analyst,50,3,00001101,filler,1,68,68
2A,13,analyst,50,4,01011111,target,5,88,88
2A,13,analyst,50,5,01111111,target,7,97,97
2A,13,analyst,50,6,01011110,filler,1,60,40
2A,13,analyst,50,7,11111010,filler,1,30,70
2A,13,analyst,50,8,00110101,filler,1,59,59
2A,13,analyst,50,9,10100110,filler,1,30,70
2A,13,analyst,50,10,11011001,filler,1,68,68
2A,13,analyst,50,11,10101011,target,2,21,21
2A,13,analyst,50,12,10001010,filler,1,20,80
2A,13,analyst,50,13,00101111,target,4,86,86
2A,13,analyst,50,14,01011101,filler,1,70,70
2A,13,analyst,50,15,11010010,filler,1,22,78
2A,13,analyst,50,16,01010101,filler,1,9,9
2A,13,analyst,50,17,01110010,filler,1,58,42
2A,13,analyst,50,18,00111111,target,6,79,79
2A,14,analyst,50,1,10101010,filler,1,100,0
2A,14,analyst,50,2,11001101,filler,1,61,61
2A,14,analyst,50,3,10001010,filler,1,39,61
2A,14,analyst,50,4,11011001,filler,1,67,67
2A,14,analyst,50,5,11000000,target,6,88,12
2A,14,analyst,50,6,11011111,target,5,60,60
2A,14,analyst,50,7,10100110,filler,1,33,67
2A,14,analyst,50,8,01101010,filler,1,77,23
2A,14,analyst,50,9,10000000,target,7,28,72
2A,14,analyst,50,10,10000101,filler,1,41,41
2A,14,analyst,50,11,00110110,filler,1,36,64
2A,14,analyst,50,12,01011110,filler,1,72,28
2A,14,analyst,50,13,01010000,target,4,45,55
2A,14,analyst,50,14,01010010,filler,1,48,52
2A,14,analyst,50,15,01011000,target,3,54,46
2A,14,analyst,50,16,10101011,target,2,48,48
2A,14,analyst,50,17,00110101,filler,1,51,51
2A,14,analyst,50,18,10000001,filler,1,35,35
2A,15,analyst,50,1,10000101,filler,1,78,78
2A,15,analyst,50,2,11111010,filler,1,19,81
2A,15,analyst,50,3,01010101,filler,1,44,44
2A,15,analyst,50,4,01110010,filler,1,50,50
2A,15,analyst,50,5,01101010,filler,1,53,47
2A,15,analyst,50,6,01111111,target,7,5,5
2A,15,analyst,50,7,11111101,filler,1,3,3
2A,15,analyst,50,8,01010100,target,2,54,46
2A,15,analyst,50,9,01011111,target,5,10,10
2A,15,analyst,50,10,11110010,filler,1,32,68
2A,15,analyst,50,11,01000001,filler,1,76,76
2A,15,analyst,50,12,00110110,filler,1,52,48
2A,15,analyst,50,13,00001101,filler,1,63,63
2A,15,analyst,50,14,11011001,filler,1,41,41
2A,15,analyst,50,15,01010000,target,4,82,18
2A,15,analyst,50,16,10100111,target,3,33,33
2A,15,analyst,50,17,10111111,target,6,6,6
2A,15,analyst,50,18,11101010,filler,1,33,67
2A,16,analyst,50,1,01011101,filler,1,73,73
2A,16,analyst,50,2,10111111,target,6,100,100
2A,16,analyst,50,3,11001101,filler,1,67,67
2A,16,analyst,50,4,01010101,filler,1,49,49
2A,16,analyst,50,5,10101011,target,2,58,58
2A,16,analyst,50,6,10000001,filler,1,8,8
2A,16,analyst,50,7,00100000,target,5,15,85
2A,16,analyst,50,8,11101010,filler,1,70,30
2A,16,analyst,50,9,10100110,filler,1,59,41
2A,16,analyst,50,10,10101010,filler,1,50,50
2A,16,analyst,50,11,01000101,filler,1,24,24
2A,16,analyst,50,12,00001101,filler,1,15,15
2A,16,analyst,50,13,10000000,target,7,2,98
2A,16,analyst,50,14,01010111,target,3,54,54
2A,16,analyst,50,15,11111010,filler,1,62,38
2A,16,analyst,50,16,01011110,filler,1,61,39
2A,16,analyst,50,17,01010000,target,4,32,68
2A,16,analyst,50,18,00110110,filler,1,54,46
2A,17,analyst,50,1,11010010,filler,1,54,46
2A,17,analyst,50,2,01111111,target,7,87,87
2A,17,analyst,50,3,01000001,filler,1,21,21
2A,17,analyst,50,4,01000000,target,6,4,96
2A,17,analyst,50,5,10000101,filler,1,26,26
2A,17,analyst,50,6,00110101,filler,1,53,53
2A,17,analyst,50,7,01000101,filler,1,36,36
2A,17,analyst,50,8,11111101,filler,1,94,94
2A,17,analyst,50,9,11101010,filler,1,62,38
2A,17,analyst,50,10,00110110,filler,1,53,47
2A,17,analyst,50,11,11110010,filler,1,61,39
2A,17,analyst,50,12,01011000,target,3,41,59
2A,17,analyst,50,13,00101111,target,4,67,67
2A,17,analyst,50,14,01011101,filler,1,61,61
2A,17,analyst,50,15,10110100,target,2,51,49
2A,17,analyst,50,16,00001101,filler,1,38,38
2A,17,analyst,50,17,01011110,filler,1,63,37
2A,17,analyst,50,18,01011111,target,5,77,77
2A,18,analyst,50,1,11010010,filler,1,64,36
2A,18,analyst,50,2,01000001,filler,1,43,43
2A,18,analyst,50,3,00110110,filler,1,49,51
2A,18,analyst,50,4,01010010,filler,1,64,36
2A,18,analyst,50,5,01011110,filler,1,51,49
2A,18,analyst,50,6,11101010,filler,1,49,51
2A,18,analyst,50,7,10001010,filler,1,51,49
2A,18,analyst,50,8,00111111,target,6,51,51
2A,18,analyst,50,9,10000000,target,7,42,58
2A,18,analyst,50,10,11000110,filler,1,52,48
2A,18,analyst,50,11,01101010,filler,1,51,49
2A,18,analyst,50,12,01001011,target,2,51,51
2A,18,analyst,50,13,11011001,filler,1,51,51
2A,18,analyst,50,14,10100111,target,3,51,51
2A,18,analyst,50,15,11010000,target,4,49,51
2A,18,analyst,50,16,00100000,target,5,51,49
2A,18,analyst,50,17,11111101,filler,1,49,49
2A,18,analyst,50,18,00001101,filler,1,44,44
2A,19,analyst,50,1,01000101,filler,1,28,28
2A,19,analyst,50,2,01101010,filler,1,48,52
2A,19,analyst,50,3,11011111,target,5,86,86
2A,19,analyst,50,4,10000101,filler,1,26,26
2A,19,analyst,50,5,11101010,filler,1,58,42
2A,19,analyst,50,6,11111101,filler,1,92,92
2A,19,analyst,50,7,01010111,target,3,58,58
2A,19,analyst,50,8,10100110,filler,1,51,49
2A,19,analyst,50,9,01010000,target,4,25,75
2A,19,analyst,50,10,00001101,filler,1,32,32
2A,19,analyst,50,11,01000001,filler,1,25,25
2A,19,analyst,50,12,01011110,filler,1,62,38
2A,19,analyst,50,13,10000000,target,7,12,88
2A,19,analyst,50,14,10110100,target,2,49,51
2A,19,analyst,50,15,01110010,filler,1,49,51
2A,19,analyst,50,16,00110110,filler,1,49,51
2A,19,analyst,50,17,00110101,filler,1,49,49
2A,19,analyst,50,18,11000000,target,6,26,74
2A,20,analyst,50,1,11010010,filler,1,85,15
2A,20,analyst,50,2,00110110,filler,1,28,72
2A,20,analyst,50,3,10101000,target,3,93,7
2A,20,analyst,50,4,10100110,filler,1,61,39
2A,20,analyst,50,5,01110010,filler,1,25,75
2A,20,analyst,50,6,10000101,filler,1,35,35
2A,20,analyst,50,7,01001011,target,2,19,19
2A,20,analyst,50,8,11101010,filler,1,85,15
2A,20,analyst,50,9,00111111,target,6,5,5
2A,20,analyst,50,10,10000001,filler,1,86,86
2A,20,analyst,50,11,11110010,filler,1,10,90
2A,20,analyst,50,12,01111111,target,7,2,2
2A,20,analyst,50,13,11001101,filler,1,45,45
2A,20,analyst,50,14,01010101,filler,1,52,52
2A,20,analyst,50,15,11011001,filler,1,85,85
2A,20,analyst,50,16,01011101,filler,1,25,25
2A,20,analyst,50,17,00101111,target,4,5,5
2A,20,analyst,50,18,11011111,target,5,7,7
2A,21,analyst,50,1,00110110,filler,1,50,50
2A,21,analyst,50,2,11000110,filler,1,48,52
2A,21,analyst,50,3,01011110,filler,1,16,84
2A,21,analyst,50,4,10000101,filler,1,82,82
2A,21,analyst,50,5,11010010,filler,1,64,36
2A,21,analyst,50,6,11010000,target,4,83,17
2A,21,analyst,50,7,11101010,filler,1,27,73
2A,21,analyst,50,8,10100111,target,3,5,5
2A,21,analyst,50,9,00111111,target,6,4,4
2A,21,analyst,50,10,01011111,target,5,10,10
2A,21,analyst,50,11,11011001,filler,1,21,21
2A,21,analyst,50,12,01010010,filler,1,58,42
2A,21,analyst,50,13,01010100,target,2,65,35
2A,21,analyst,50,14,10000001,filler,1,62,62
2A,21,analyst,50,15,11111101,filler,1,13,13
2A,21,analyst,50,16,01000001,filler,1,61,61
2A,21,analyst,50,17,10000000,target,7,59,41
2A,21,analyst,50,18,10100110,filler,1,48,52
2A,22,analyst,50,1,01110010,filler,1,50,50
2A,22,analyst,50,2,10101011,target,2,74,74
2A,22,analyst,50,3,01010000,target,4,42,58
2A,22,analyst,50,4,01000101,filler,1,33,33
2A,22,analyst,50,5,11111010,filler,1,81,19
2A,22,analyst,50,6,00100000,target,5,35,65
2A,22,analyst,50,7,01000000,target,6,20,80
2A,22,analyst,50,8,10100111,target,3,75,75
2A,22,analyst,50,9,00110110,filler,1,75,25
2A,22,analyst,50,10,10000101,filler,1,38,38
2A,22,analyst,50,11,11001101,filler,1,78,78
2A,22,analyst,50,12,00110101,filler,1,72,72
2A,22,analyst,50,13,01011101,filler,1,32,32
2A,22,analyst,50,14,00001101,filler,1,32,32
2A,22,analyst,50,15,01111111,target,7,90,90
2A,22,analyst,50,16,10101010,filler,1,73,27
2A,22,analyst,50,17,10100110,filler,1,71,29
2A,22,analyst,50,18,10000001,filler,1,30,30
2A,23,analyst,50,1,01000101,filler,1,62,62
2A,23,analyst,50,2,01000001,filler,1,74,74
2A,23,analyst,50,3,11110010,filler,1,24,76
2A,23,analyst,50,4,10100110,filler,1,71,29
2A,23,analyst,50,5,10101111,target,4,35,35
2A,23,analyst,50,6,01011101,filler,1,20,20
2A,23,analyst,50,7,01011110,filler,1,30,70
2A,23,analyst,50,8,11001101,filler,1,35,35
2A,23,analyst,50,9,10101011,target,2,73,73
2A,23,analyst,50,10,00001101,filler,1,68,68
2A,23,analyst,50,11,10000001,filler,1,80,80
2A,23,analyst,50,12,01010111,target,3,32,32
2A,23,analyst,50,13,10000000,target,7,12,88
2A,23,analyst,50,14,11111010,filler,1,56,44
2A,23,analyst,50,15,01000000,target,6,29,71
2A,23,analyst,50,16,10001010,filler,1,33,67
2A,23,analyst,50,17,11010010,filler,1,52,48
2A,23,analyst,50,18,00100000,target,5,20,80
2A,24,analyst,50,1,00110110,filler,1,51,49
2A,24,analyst,50,2,00001101,filler,1,49,49
2A,24,analyst,50,3,10100111,target,3,50,50
2A,24,analyst,50,4,10000000,target,7,50,50
2A,24,analyst,50,5,01000001,filler,1,50,50
2A,24,analyst,50,6,01011101,filler,1,50,50
2A,24,analyst,50,7,10101011,target,2,51,51
2A,24,analyst,50,8,10100000,target,5,50,50
2A,24,analyst,50,9,11010000,target,4,52,48
2A,24,analyst,50,10,11000000,target,6,51,49
2A,24,analyst,50,11,10000001,filler,1,51,51
2A,24,analyst,50,12,11110010,filler,1,51,49
2A,24,analyst,50,13,11011001,filler,1,50,50
2A,24,analyst,50,14,01011110,filler,1,50,50
2A,24,analyst,50,15,01101010,filler,1,50,50
2A,24,analyst,50,16,11001101,filler,1,51,51
2A,24,analyst,50,17,11111101,filler,1,50,50
2A,24,analyst,50,18,11111010,filler,1,51,49
2A,25,analyst,50,1,01010010,filler,1,85,15
2A,25,analyst,50,2,01010101,filler,1,0,0
2A,25,analyst,50,3,01010000,target,4,97,3
2A,25,analyst,50,4,11010010,filler,1,94,6
2A,25,analyst,50,5,10101011,target,2,96,96
2A,25,analyst,50,6,00001101,filler,1,8,8
2A,25,analyst,50,7,01011000,target,3,100,0
2A,25,analyst,50,8,11011001,filler,1,0,0
2A,25,analyst,50,9,10000001,filler,1,0,0
2A,25,analyst,50,10,01011101,filler,1,0,0
2A,25,analyst,50,11,01111111,target,7,0,0
2A,25,analyst,50,12,00100000,target,5,100,0
2A,25,analyst,50,13,11001101,filler,1,0,0
2A,25,analyst,50,14,11000110,filler,1,100,0
2A,25,analyst,50,15,10100110,filler,1,100,0
2A,25,analyst,50,16,11111101,filler,1,0,0
2A,25,analyst,50,17,11000000,target,6,100,0
2A,25,analyst,50,18,01101010,filler,1,100,0
2A,26,analyst,50,1,11011001,filler,1,81,81
2A,26,analyst,50,2,01011101,filler,1,75,75
2A,26,analyst,50,3,01011110,filler,1,68,32
2A,26,analyst,50,4,11000110,filler,1,86,14
2A,26,analyst,50,5,10100000,target,5,81,19
2A,26,analyst,50,6,10101010,filler,1,32,68
2A,26,analyst,50,7,10000000,target,7,8,92
2A,26,analyst,50,8,10101011,target,2,64,64
2A,26,analyst,50,9,11111010,filler,1,51,49
2A,26,analyst,50,10,11101010,filler,1,72,28
2A,26,analyst,50,11,10101000,target,3,14,86
2A,26,analyst,50,12,01101010,filler,1,32,68
2A,26,analyst,50,13,00110101,filler,1,81,81
2A,26,analyst,50,14,10000101,filler,1,29,29
2A,26,analyst,50,15,01010010,filler,1,80,20
2A,26,analyst,50,16,11110010,filler,1,26,74
2A,26,analyst,50,17,10111111,target,6,86,86
2A,26,analyst,50,18,00101111,target,4,90,90
2A,27,analyst,50,1,01011110,filler,1,60,40
2A,27,analyst,50,2,01000101,filler,1,40,40
2A,27,analyst,50,3,10000001,filler,1,27,27
2A,27,analyst,50,4,01111111,target,7,79,79
2A,27,analyst,50,5,11010010,filler,1,51,49
2A,27,analyst,50,6,11000110,filler,1,54,46
2A,27,analyst,50,7,11011001,filler,1,58,58
2A,27,analyst,50,8,11010000,target,4,37,63
2A,27,analyst,50,9,01011101,filler,1,56,56
2A,27,analyst,50,10,01011111,target,5,66,66
2A,27,analyst,50,11,11111010,filler,1,69,31
2A,27,analyst,50,12,10001010,filler,1,55,45
2A,27,analyst,50,13,10101000,target,3,40,60
2A,27,analyst,50,14,11101010,filler,1,58,42
2A,27,analyst,50,15,11000000,target,6,30,70
2A,27,analyst,50,16,10110100,target,2,40,60
2A,27,analyst,50,17,10101010,filler,1,59,41
2A,27,analyst,50,18,01010101,filler,1,39,39
2A,28,analyst,50,1,10000101,filler,1,80,80
2A,28,analyst,50,2,01010010,filler,1,28,72
2A,28,analyst,50,3,00001101,filler,1,88,88
2A,28,analyst,50,4,01110010,filler,1,85,15
2A,28,analyst,50,5,11000110,filler,1,89,11
2A,28,analyst,50,6,10000001,filler,1,19,19
2A,28,analyst,50,7,10100000,target,5,91,9
2A,28,analyst,50,8,10001010,filler,1,87,13
2A,28,analyst,50,9,11001101,filler,1,89,89
2A,28,analyst,50,10,01011110,filler,1,89,11
2A,28,analyst,50,11,01001011,target,2,84,84
2A,28,analyst,50,12,10101111,target,4,89,89
2A,28,analyst,50,13,10000000,target,7,81,19
2A,28,analyst,50,14,11111101,filler,1,84,84
2A,28,analyst,50,15,11111010,filler,1,91,9
2A,28,analyst,50,16,10111111,target,6,92,92
2A,28,analyst,50,17,11010010,filler,1,74,26
2A,28,analyst,50,18,01011000,target,3,87,13
2A,29,analyst,50,1,01101010,filler,1,47,53
2A,29,analyst,50,2,00001101,filler,1,51,51
2A,29,analyst,50,3,01011110,filler,1,52,48
2A,29,analyst,50,4,01010000,target,4,48,52
2A,29,analyst,50,5,01000001,filler,1,50,50
2A,29,analyst,50,6,11011111,target,5,49,49
2A,29,analyst,50,7,10001010,filler,1,48,52
2A,29,analyst,50,8,10101010,filler,1,50,50
2A,29,analyst,50,9,01010111,target,3,50,50
2A,29,analyst,50,10,00110101,filler,1,50,50
2A,29,analyst,50,11,11011001,filler,1,51,51
2A,29,analyst,50,12,11001101,filler,1,48,48
2A,29,analyst,50,13,10111111,target,6,52,52
2A,29,analyst,50,14,11110010,filler,1,51,49
2A,29,analyst,50,15,01010100,target,2,48,52
2A,29,analyst,50,16,11111101,filler,1,49,49
2A,29,analyst,50,17,11010010,filler,1,49,51
2A,29,analyst,50,18,10000000,target,7,53,47
2A,30,analyst,50,1,01000001,filler,1,4,4
2A,30,analyst,50,2,10101010,filler,1,99,1
2A,30,analyst,50,3,01111111,target,7,98,98
2A,30,analyst,50,4,11000000,target,6,0,100
2A,30,analyst,50,5,01010100,target,2,20,80
2A,30,analyst,50,6,11101010,filler,1,55,45
2A,30,analyst,50,7,01101010,filler,1,61,39
2A,30,analyst,50,8,11110010,filler,1,67,33
2A,30,analyst,50,9,10000101,filler,1,39,39
2A,30,analyst,50,10,00101111,target,4,60,60
2A,30,analyst,50,11,00110101,filler,1,60,60
2A,30,analyst,50,12,11111101,filler,1,92,92
2A,30,analyst,50,13,01010101,filler,1,54,54
2A,30,analyst,50,14,01011101,filler,1,63,63
2A,30,analyst,50,15,10101000,target,3,47,53
2A,30,analyst,50,16,10100110,filler,1,52,48
2A,30,analyst,50,17,11011001,filler,1,57,57
2A,30,analyst,50,18,01011111,target,5,86,86
2A,31,analyst,50,1,11011001,filler,1,73,73
2A,31,analyst,50,2,01000001,filler,1,4,4
2A,31,analyst,50,3,00111111,target,6,48,48
